CommonName,BotanicalName,Family,PlantType,MatureSize,SunExposure,SoilType,SoilpH,BloomTime,FlowerColor,HardinessZones,NativeArea,Toxicity,NativeAreas,CommonNames,Commonname,Size,HardinessZone,NativeRange,FamilyName,ScientificName,FlowerColors,BotanicalNames,Botanicaname,Planttype,Maturesize,Sunexposure,Soiltype,Bloomtime,Flowercolor,Hardinesszones,Nativearea,BloomColor,USDAHardinessZone,USDAHardinessZones,Toxicity:,,"Mizunakyona,shuicai","5to7incheshigh,10to15incheswide","Well-drained,richsoil",Spring(nottypicallygrownforflowers),4to9,Botanicalname,GrowingTime,Commonnames,Phyllostachysaurea,LightExposure,GrowingZones,CommonName:,BotanicalName:,Family:,PlantType:,Size:,SunExposure:,SoilType:,SoilpH:,BloomTime:,HardinessZones:,NativeArea:,Dracaenatrifasciata(formerlySansevieriatrifasciata),"Evergreen,perennial",Shadetopartialsun,Slightlyacidictoslightlyalkaline,White,WestAfrica(tropical),BotaicalName,SoilNeeds,PlantTypes,Nativerange,BontanicalName,Soilp,Toxicty,otanicalName,NativeAreaEastern,GrowingMedia,LeafColor,ParrotTulip,"5inchesacross,15-20inchstems","Chalky,loamy,andsandysoil",Spring,4-7,PlantFamily,WaterpH,BoomTime,WaterType,Soil,PlantSize,USDAhardinesszone,SunType,Zones,BloomTIme,Parthenocissusquinquefolia,"Perennial,Vine","Full,Partial,Shade",Neutraltoacidic(5.1to7.3),Greenishwhite,EasternandCentralUnitedStates,USDAPlantHardinessZones,SoilpHN,Flower,Flower(Bract)Color,BotanialName,url,Water
"Ficus Audrey, banyan tree, strangler fig ",Ficus benghalensis ,Moraceae ,Tree ,"5-10 ft. indoors, 65-100 ft. outdoors ",Partial ,Moist but well-drained ,Acidic ,Null,Null,"9-11, US ",Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/ficus-audrey-care-guide-5221681,Allow the top 2 to 3 inches of soil to dry between waterings and then water thoroughly. Ficus Audrey does best in consistently moist soil and should never be allowed to dry out completely. 
Amur adonis,Adonis amurensis,Null,Herbaceous perennial,1 foot tall (with a somewhat greater spread),Full sun to partial shade ,Well-drained,Slightly acidic to slightly alkaline,March or April in zone 5,Yellow,3 to 7,Northeastern Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-and-care-for-amur-adonis-5077255,Keep the soil for this perennial evenly moist.
"Sweet birch, black birch, cherry birch",Betula lenta,Null,"Tree, deciduous",40-70 feet tall,Full sun,"Moist, well-drained",< 6.8,Spring,Green (catkins),3-7,Eastern North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/sweet-birch-tree-plant-profile-4843256,"Sweet birch trees grow well in wet conditions and are not drought-tolerant. When grown in moist soil in areas that receive regular rainfall, supplemental watering should not be necessary. However, if you live in a dry region you may need to water your sweet birch between rainfalls to ensure it does not dry out."
"Elephant's ear, American Taro",Xanthosoma spp.,Araceae,"Perennial, Herbaceous",Up to 8 ft. tall,"Partial, Shade",Moist but Well-drained,"Acidic, Neutral",Summer,Greenish White,8-13 (USDA) depends on species,Central and South America,Toxic to people and pets2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/grow-elephant-ears-xanthosoma-indoors-1902776,"To keep the prized foliage of your Xanthosoma looking verdant and healthy, it will need regular and thorough watering. During the hot growing season, this could be two or three times a week and still once every week or two in the winter."
Null,Viburnum dentatum,Caprifoliaceae,Shrub,6–10 ft. tall and wide,"Full, partial","Loamy, moist, well-drained",Acidic,Spring,White,2-8 (USDA),North America,Null,Null,"Arrowwood viburnum, southern arrowwood, American arrowwood, roughish arrowwood",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/arrowwood-viburnum-shrubs-growing-tips-2132732,"The shrub needs at least a moderate amount of soil moisture, though mature plants have some drought tolerance. They also can handle occasional flooding. Keep young shrubs well watered, and continue to give established plants water whenever the soil begins to dry out."
" Trident maple, three-toothed maple", Acer buergerianum,Sapindaceae, Deciduous tree," 25-35 ft. tall, 15-25 ft. Wide", Full," Moist, well-drained", Acidic to neutral, Early spring, Greenish-yellow (inconspicuous), 5-9 (USDA)," Asia (Eastern China, Japan)",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-trident-maple-trees-5094177,"Until the tree is established, 15 to 20 gallons of water a week for the first season should be sufficient to keep a trident maple happy. After that time, you can water less frequently, as needed. This species tolerates occasional drought conditions."
Stella d'Oro daylily,Hemerocallis 'Stella d'Oro',Hemerocallidaceae,Herbaceous perennial,"9-12 inches tall, 10-12 inches wide",Full sun,"Moist, well-drained","Acidic, neutral, alkaline","Spring, summer",Golden yellow,3-10 (USDA),"Cultivar, no native range",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/taxonomy-of-stella-de-oro-daylily-2132564,"Ideally, Stella d'Oro needs about one inch of water per week in the form of rainfall and/or irrigation, but it will easily survive two or three weeks of drought, though with diminished flowering. Consistent moisture produces the best flowering. Where possible, apply water via a ground-level soaking rather than overhead sprinkling."
"Moringa plant, moringa tree, miracle tree, horseradish tree, drumstick tree, ben oil tree",Moringa oleifera,Moringaceae,Tree,"25-35 ft. tall, 15-25 ft, wide",Full,"Loamy, sandy, well-drained","Neutral, acidic",Spring,White,10-11 (USDA),Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-and-care-for-moringa-plants-5076022,"Keep the soil of moringa plants consistently moist, but not wet. Moringa plants do not tolerate ""wet feet"" and are sensitive to overwatering. Established moringa plants are drought-tolerant, but young plants need more consistent moisture to encourage strong growth. When it comes to watering moringa plants; infrequent, deep watering is better than frequent, light watering. "
"Butterhead lettuce, butter lettuce, butter leaf, buttercrunch",Lactuca sativa var. capitata,Null,"Annual, vegetable",Null,"Full sun, partial sun","Loamy, moist, well-drained","Acidic, neutral",Null,Null,2–11 (USDA),Mediterranean,Null,Null,Null,Null,9–15 in. tall and wide,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-and-care-for-buttercrunch-lettuce-4767592,Keep the soil consistently moist from planting until harvest. The ideal moisture level will have your soil feeling like a wrung-out sponge.
"Donkey's tail, burro's tail, lamb's tail",Sedum morganianum,Crassulaceae,"Perennial, succulent","1–4 ft. long, 1–2 ft. wide","Full, partial","Loamy, sandy","Neutral, alkaline 1",Summer,"Red, white, yellow",10–11 (USDA),"Mexico, Honduras",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/grow-sedum-morganianum-1902975,"When it comes to watering your donkey's tail succulent, less is more. Like many succulents, donkey's tail is drought resistant once established, so you'll want to water it more frequently during its spring and summer growing season, then taper off throughout the fall and winter months. Generally, opt for a single heavy watering each month if your plant is indoors, increasing to once every two or three weeks if you're housing your succulent outdoors. A good rule of thumb: The soil of your succulent should dry out completely in-between waterings. Check the soil with your finger to make sure the soil is dry at least an inch down before watering the plant."
Red Oak,Quercus rubra,Fagaceae,Deciduous tree,"50-75 ft. tall, 40-60 ft. wide","Full sun, partial shade","Fertile, sandy, dry, well-draining",Acidic,May,Yellowish-green,Null,Null,Null,Null,Null,Null,Null,"4-8, USDA",North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/red-oak-growing-guide-5195395,"While your oak establishes its roots and matures for the first few years, you should water it weekly. It will take a good amount of water, especially during dry periods; 10 gallons per inch of trunk diameter is a good standard. Once your oak is established, Don't worry about watering it any further Mother Nature should take care of it just fine."
Null,Mednilla magnifica,Null,Broadleaf evergreen ,2 to 4 feet tall; 1- to 3-foot spread,Part shade,Well-drained potting mix,6.1 to 6.5 (slightly acidic),Sporadically from April to August,Pink to coral red,10 to 11 (USDA),"Phillipines, Java, Malay Peninsula, Sumatra.",Null,Null,"Medinilla, rose grape, showy medinilla, Philippine orchid, pink lantern plant",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/medinilla-showy-tropical-flower-1315765,Null
"Cyclamen, florist's cyclamen, Persian cyclamen, Persian violet",Cyclamen persicum,Primulaceae,Perennial,"6–9 in. tall, 6–9 in. wide",Partial,"Loamy, moist, well-drained",Acidic,"Fall, winter, spring","Pink, white, red, purple",9–11 (USDA),Null,"Toxic to people, toxic to pets",Mediterranean,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-care-for-cyclamen-1402644,"When leaves are present, the plant is actively growing. During this period, water whenever the soil feels dry about an inch below its surface. Avoid getting water on the leaves or crown of the plant (part where the stem meets the roots), which can cause it to rot.3 While the plant is dormant (losing most or all of its leaves), water infrequently only to prevent the soil from entirely drying out."
"Cherimoya, Custard Apple",Annona cherimola,Annonaceae,Tropical evergreen,"30 ft. tall, 30 ft. wide",Full sun,"Compost-rich, Loamy soil ",6.5 to 7.6,May to October,"Green, Pink",USDA 10-11 (Will only fruit in 10),"Ecuador, Colombia, and Bolivia",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/cherimoya-growing-guide-5195085,"While the tree is in its growing season, you will want to keep the Cherimoya tree's soil moist but not wet. Cherimoyas are susceptible to root rot in soil that stays soaked, so overwatering needs to be avoided, and soil consistency is key."
Crepe Myrtle,Lagerstroemia indica,Null,Deciduous tree / large shrub,"6-25 ft. tall, 6-20 ft. wide",Full sun,"Average, medium moisture, well-drained",6.0-6.5,July-September,Red-rose,USDA 6-9,"China, Indochina, Himalayas, Japan",Null,Null,Null,Null,Null,Null,Null,Lythraceae,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/crepe-myrtle-growing-guide-5210870,"Unlike most trees, the crepe myrtle needs water often, especially if the soil is not moist. To bolster those beautiful blooms, you need to water the roots deeply, particularly during dry periods. As usual, you will need to water it as it is being established, but if you live in an area that does not get a good amount of rain, it is a great idea to continue watering your crepe myrtle using the same method as you would with a newly planted tree. Water your crepe with two to three gallons of water per inch of trunk diameter. It is important to only water the roots of crepe myrtle, especially if your tree does not have enough space around it for airflow; you want to avoid watering the foliage. Wetting the foliage during watering invites powdery mildew."
Null,Viburnum prunifolium,Moschatel family,"Perennial, shrub","12–15 ft. tall, 6–12 ft. wide","Full, partial","Moist, well-drained",Neutral,Spring,White,3–9 (USDA),North America,Null,Null,"Blackhaw viburnum, blackhaw, black haw, sweet haw, stag bush, sheepberry",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/black-haw-viburnum-growing-profile-3269201,This shrub has moderate water needs. Keep the soil for young shrubs evenly moist (but not soggy) as they establish their root systems. Mature shrubs have some drought tolerance and generally will only require watering if you have a prolonged period without rainfall and/or are experiencing hot temperatures. 
Liveforever,Dudleya,Crassulaceae,"Succulent, perennial","24 in. tall, 18 in. wide","Full, Partial","Sandy, well-drained","Acidic, Neutral, Alkaline",Spring,"Red, Pink, Yellow","5-11, USA","North America, Central America",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/dudleya-growing-guide-5220093,"Water Dudleya plants only when the soil is nearly dry. Watering too often can cause soggy soil conditions. It is best not to water these plants at all during the summer months, as they go dormant and thrive in dry conditions. Withering during this time is normal. As fall arrives, you may need to supply water if rain is sparse. "
"Living stones, pebble plants",Lithops spp.,Aizoaceae,"Succulent, perennial","0.5–2 in. tall, 0.5–2 in. wide",Full,"Sandy, well-drained","Acidic, neutral, alkaline","Fall, early winter","White, yellow, orange",10–11 (USDA),Africa,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/grow-living-stones-plants-1902983,"Living stones must be watered on a seasonal schedule that mimics the rainfall they would get in their natural habitat. Don’t water in summer or over the winter when the plant is dormant. Then drench the soil, allowing it to dry our completely before watering again--about 1-2 weeks. Once the new leaves begin forming in the spring, water whenever the soil dries out—just enough to make it slightly moist. Pause watering again in the summer during the plant's second dormant period. Resume watering in early fall, just before the plant is ready to flower. If the leaves start to completely shrivel up while the plant is dormant, you can give it a very small amount of water to plump them up again."
Pumpkin ash,Fraxinus profunda/tomentosa,Oleaceae,Tree,60 to 80 feet,Full sun,Wet,Neutral,Spring,Green,Null,Southeastern United States ,Null,Null,Null,Null,Null,5-9 (USDA),Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/pumpkin-ash-profile-5074896,Water the pumpkin ash often during dry seasons or drought. It is easy to under water but hard to over water this tree.
Squirrel corn,Dicentra canadensis,Papaveraceae,Herbaceous perennial,6–12 in. tall and wide,Partial to full shade,"Rich, moist but well-drained",Acidic to neutral (5.5 to 6.5),Spring,Pinkish-white,3–7 (USDA),"Eastern, central North America","Toxic to humans, animals 2 1",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-and-care-for-squirrel-corn-plant-5077070,"Squirrel corn is a spring ephemeral that must be kept moist during the spring active growing season but can be allowed to go dry as the hot months of summer begin. If rainfall is not plentiful in spring, make sure it gets at least 1 inch of irrigation per week, best delivered in smaller waterings spaced a few days apart. Do not, however, let the roots soak in permanently soggy soil."
Kentucky coffee tree ,Gymnocladus dioicus,Fabaceae ,Perennial deciduous tree ,"65-75 ' tall, 40-50' spread ",Full sun ,"Tolerant of clay, likes loam ","Acidic, alkaline or neutral ",Late spring ,Greenish white ,"3-8, USA ",Null,Seeds are toxic to people,"Central US, Nebraska to Pennsylvania ",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/kentucky-coffee-tree-plant-profile-5199832,"In times of extended drought, this tree will benefit from some additional watering at its base. But otherwise it's very drought-tolerant and should not require extra water."
"Chinese cabbage, napa cabbage, Peking cabbage, celery cabbage",Brassica rapa Pekinensis,Brassicaceae,"Biennial, vegetable",Null,"Full sun, partial sun","Loamy, sandy, well-drained","Acidic, neutral (6 to 7)","Spring, fall",Null,4–7 (USDA),Asia,Null,Null,Null,Null,"20 in. tall, 5 in. wide",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-chinese-or-napa-cabbage-4125534,A fairly moist but not soggy soil is ideal for napa cabbage. Water when the soil feels dry about an inch or two down. Regular watering will help to encourage growth and to prevent the plant from going to seed early.
Tall fescue grass,Festuca arundinacea,Poaceae,"Perennial, grass","4-12 in. high, 2-4 in. wide","Full, partial","Loamy, sandy, clay, silt","Acidic, neutral",Null,Null,3-8 (USDA),Null,Null,Europe,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/tall-fescue-grass-4125525,"Weekly watering of 1 to 1 3/4 inches of water is beneficial but not essential. When watering, the goal should be to wet the soil to a depth of 4 to 6 inches. The long roots make tall fescue grass quite drought-resistant. Only water when there's not adequate rainfall."
Egyptian Star Cluster,Pentas lanceolata,Null,Perennial,24–36 inches,Full sun to partial shade,Fertile with good drainage,Mildly acidic,Summer,"Red, pink, lavender, or white",6–11,Africa,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/pentas-flowers-1315713,Null
"Milkweed, common milkweed",Asclepias syriaca,Apocynaceae/Asclepiadaceae,Herbaceous perennial,2 to 4 ft. tall,Full sun,"Any well-drained soil; tolerates clay soil and poor, dry conditions",4.8 to 7.2,June to August,"Pink, mauve, white",3 to 9 (USDA),Eastern United States,Toxic to humans and animals,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/milkweed-plants-monarch-butterfly-host-2132954,"Common milkweed does not need watering except in the driest conditions. Water deeply, giving the plants between one to two inches of water, then wait until the top inch of soil is dry before watering again. Overwatering common milkweed can result in a lethal fungus."
